type,aufgabe,score,state,description
Lesen,1.2.1,1,10,"Kann Zeitpläne sinnentnehmend lesen (Dokument literacy)."
Lesen,1.2.1,1,10,"Kann Wörter mit ansteigender Komplexität (Konsonantenhäufungen) recodieren und dekodieren."
Lesen,1.2.2,1,5,"Kann Wörter mit ansteigender Komplexität (Konsonantenhäufung) recodieren und decodieren."
Lesen,1.3.2,1,5,"Kann Wörter mit ansteigender Komplexität (Konsonantenhäufung) recodieren und decodieren."
Lesen,1.3.3,1,5,"Kann Sätze mit ansteigender Länge sinnerfassend lesen."
Lesen,1.3.3,1,5,"Kann SPO-Sätze und SPO-Sätze mit Einfügungen sinnerfassend lesen."
Lesen,1.3.4,1,0,"Kann einzelne Wörter im Satzkontext erlesen."
Lesen,1.3.4,1,0,"Kann orthografisch komplexere Wörter erlesen."
Lesen,1.3.4,1,0,"Kann Sätze mit ansteigender Länge sinnerfassend lesen."
Lesen,1.3.4,1,0,"Kann SPO-Sätze und SPO-Sätze mit Einfügungen sinnerfassend lesen."
Schreiben,2.1.1,2,10,"Kann Wörter mit Silben, die aus einem Vokal oder einem Diphtong bestehen, schreiben."
Schreiben,2.1.1,2,10,"Kann Zahlen als Ziffern schreiben. "
Schreiben,2.1.1,2,10,"Kann Wörter mit offenen Silben schreiben. "
Schreiben,2.1.2,2,5,"Kann lautierte einzelne Laute verschriftlichen."
Schreiben,2.1.3,2,5,"Kann Groß- und Kleinbuchstaben in Druckschrift unterscheiden. "
Schreiben,2.1.4,2,5,"Kann Wörter mit Silben, die aus einem Vokal oder Diphtong bestehen schreiben (O-ma, Au-to) "
Schreiben,2.1.5,2,0,"Kann Zahlen bis 20 als Zahl schrieben "
Schreiben,2.1.6,2,0,"Kann in einem logographischen Zugriff Standardanreden wie „Liebe“ oder „Hallo“ groß schreiben. "
Sprache,3.1.1,3,10,"Kann prädikative Kongruenz im Präsens in einem kurzen Satz erkennen."
Sprache,3.1.2,3,10,"Kann verbale Kongruenz im Präsenz in einem kurzen Satz erkennen."
Sprache,3.1.3,3,5,"Kann nominale Kongruenz in einem kurzen Satz erkennen."
Sprache,3.1.4,3,5,"Kann den passenden Genetiv in einem kurzen Satz erkennen."
Sprache,3.2.1,3,5,"Kann prädikative Kongruenz im Perfekt in einem mäßig kurzen Satz erkennen. "
Sprache,3.2.2,3,0,"Kann verbale Kongruenz im Perfekt in einem mäßig kurzen Satz erkennen. "
Sprache,3.2.3,3,0,"Kann nominale Kongruenz im Akkusativ in einem mäßig kurzen Satz erkennen "
Mathe,4.1.1,2,10,"Kann Mengen im Zehner-, Hunderter- und höheren Bereichen erfassen. "
Mathe,4.1.2,2,10,"Kann Ziffern und Zahlen 1-1000 erkennen. "
Mathe,4.1.3,2,5,"Kann Zahlen von 10 bis 100 erkennen. "
Mathe,4.1.4,2,5,"Kann Ziffern und Zahlen 100 bis 1000 erkennen. "
Mathe,4.2.1,2,5,"Kann Einer-Ziffern im Kopf addieren."
Mathe,4.2.3,2,0,"Kann Einer- und Zehner-Zahlen im Kopf zusammen zählen "
Mathe,4.2.3,2,0,"Kann Zehner- und Einer-Zahlen im Kopf zusammen zählen."
